sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
5.150602791972353,3.683647945329972,1.3910099569136807,0.17684317917322231,0
5.169946129474119,3.13008624495123,1.2102263023532143,0.08075684422866353,0
4.660558913399157,2.9595854623140623,1.2888749599404397,0.26203559271017873,0
4.537698049557043,3.0828135394484373,1.6879294466690542,0.3442584930755167,0
5.0805389308601026,3.6094088455636815,1.4251495883889653,0.09174386480441987,0
5.547034181661915,3.9446836149646494,1.631117645869907,0.3393509999259846,0
4.792511360447931,3.3952669050849047,1.417368177226202,0.3060181048924209,0
4.834875942735496,3.492657181614358,1.3411424500003108,0.1259375846165961,0
4.4320068971538875,2.7549695087284762,1.4450177473008432,0.2793172478439356,0
4.777564418536863,3.1472519578499796,1.4101362735680985,0.06395706818702626,0
5.285301146047652,3.7423635850545907,1.496016463388287,0.0864573295565093,0
4.942191729399041,3.456649646450893,1.67081833667621,0.26941612840542406,0
4.815199891179191,2.958333323709867,1.3730367636493328,-0.06826702705589022,0
4.138861747726537,3.001698258387393,1.08274634489997,-0.14720090620020296,0
5.707596974921403,3.8869574694100066,1.0994754249326952,0.17552163077727054,0
5.600964035477585,4.370471046114889,1.504261343544827,0.39268295529901565,0
5.367561396135564,3.861148957177095,1.4669527323100904,0.2713252996827054,0
5.058172850415357,3.440919614522821,1.4585298389258252,0.4634020205881125,0
5.569304195830785,3.80561876804961,1.663962366630115,0.2326484329420595,0
5.2916842637950365,3.9299191890193184,1.6076003356247923,0.28943278716290277,0
5.259035200660952,3.451432527591044,1.7455641604140737,0.05840317090636726,0
5.124694955012511,3.614699952662344,1.4701134702680272,0.5542393069633921,0
4.468229572030865,3.7586806464063005,1.0739821819059499,0.16279960908968197,0
5.114024766229579,3.2998710310708748,1.569763201987392,0.5586469443288752,0
4.990855271214703,3.3992650862352263,1.877879143324453,0.24460894360132465,0
4.911710782637554,3.0068368122771716,1.6818573293329224,0.18138693076760656,0
4.904496083374112,3.482732993433508,1.325623466056491,0.4089667735002453,0
5.169213653331326,3.337217401804343,1.3463984011984687,0.05864363819924087,0
5.074345344707995,3.4641969725491495,1.4461701387821364,0.3949405985209452,0
4.947909061219365,3.172181392169189,1.507606531393823,0.2700907723259725,0
4.850828657232566,3.0219145106617455,1.6113272982650866,0.15127676116643132,0
5.544169368540954,3.3732264602663324,1.5655656037051116,0.4595745734543896,0
5.197051227744786,4.239318678966302,1.5160498598416519,0.1748663291629069,0
5.564606686272335,4.17236610989804,1.283972126862807,0.22742789737556393,0
5.056826040859091,3.0959636527742527,1.52317643589836,0.3437214362068129,0
5.055652242150758,3.1577947316969164,1.2244411046340034,0.18486617354978885,0
5.558857232088771,3.5763211229056773,1.4294256461408383,0.37011305111804726,0
4.89413437261456,3.6505499407488267,1.310092412727051,0.2645285823902058,0
4.323601137093836,2.914128222905404,1.2550451064077115,0.19955630885938344,0
5.127412457826865,3.5529376248691444,1.263026132180792,0.20563280280237545,0
5.15536155238543,3.5051698320991815,1.339589883799369,0.3597466396814325,0
4.543647748012847,2.3997582950998817,1.306727908951449,0.3372126518862187,0
4.414295308692322,3.1658953715103406,1.4148053747787013,0.13011135048444944,0
4.964165465265575,3.52209408651005,1.5490934734171855,0.6973232763178838,0
5.046723513432963,3.980504627575381,1.9282883890784008,0.38101712081032174,0
4.719309403475045,3.0719173175822223,1.4523641529267857,0.3809265889192761,0
5.041034729991871,3.8902506359128175,1.5860614136835751,0.08815012288638746,0
4.64358052349781,3.299474642063307,1.3650466543765116,0.060656260566184284,0
5.363731283682243,3.7484877113019213,1.491463079184965,0.08933028687823191,0
4.982963676604025,3.227872711280111,1.6012391161422936,0.194849090127645,0
6.8028243799949495,3.2877410585797113,4.5790248242179805,1.3325006846682454,1
6.418913305405701,3.2738820831167836,4.614165797985316,1.483726686459481,1
6.934255617538104,3.1195904914037,4.841584084646052,1.388317968386337,1
5.569183158423221,2.3331120416673166,3.844560169401743,1.110409186331006,1
6.536270776616276,2.6656200928486182,4.719239880299714,1.4941987332226927,1
5.777405414284676,2.94538180351629,4.584401513969412,1.191482883962529,1
6.352467127749111,3.0959080205350564,4.7469956856203614,1.553308664800764,1
4.982371893844267,2.565853854752494,3.347823190200234,0.9261304280168009,1
6.551875898304247,2.786751969478775,4.414864425100231,1.5022004805371614,1
4.996265009854087,2.6571899722642023,3.7187466506101665,1.3433532420012222,1
4.866290560731276,1.8904532040746833,3.4904600146936353,0.9815751496568241,1
5.901064711008791,2.999960119355851,4.106839199630535,1.5058508082471114,1
5.8706824622357345,2.0949066881479737,3.885568546934706,1.0005728168486892,1
6.14619995202039,3.0174322716665882,4.826832692906255,1.4543594034210177,1
5.510471232235228,2.955552442710301,3.6321620449410066,1.3631157129304345,1
6.621008514967506,3.065445624031083,4.476544173896356,1.430426208313877,1
5.603069487940165,3.2708030450738503,4.475600680285513,1.5924253570350382,1
5.931149807286927,2.67900614700545,4.235555068131829,0.8834524325713,1
6.141455802051327,2.1534807977980406,4.495037117816404,1.555621651719407,1
5.6978946489698625,2.653154523332571,3.750978017572477,1.1036061660192409,1
5.977483671274238,3.1442355424033908,4.924413262701012,1.8922712610442365,1
6.210973610828938,2.8017916783870676,3.9404945235710906,1.2399058356128205,1
6.1580526219557115,2.4035245618494225,4.830126633431688,1.4708013081928433,1
6.098455455920895,2.7427008349090567,4.5194340639335575,1.2330561897826382,1
6.432857040381082,2.9032978560690115,4.288445031819354,1.3761865001773177,1
6.6244239367335,3.073776466855964,4.372479604974426,1.4458689875560267,1
6.856842119191224,2.6084953026722553,4.841843685062101,1.3169317983858437,1
6.753229336934357,2.85761997795622,4.9335999172811915,1.6641435266013402,1
6.081164864386167,3.019356342407842,4.370085393003408,1.5026740734817916,1
5.5432319936111165,2.754440031239943,3.5549762769694193,1.1011236562724311,1
5.620770493711241,2.4081938294958634,3.8206249449071787,1.0677188378802887,1
5.325488266717225,2.2451615035050785,3.7909971311635715,1.011548418276939,1
5.93991020574591,2.5827549090574125,3.864681858697606,1.3717948465503134,1
6.065535920911765,2.586475197373432,5.012746953289181,1.5266670616269173,1
5.429817966162682,2.918018175230036,4.4564301121743535,1.4952789169699812,1
6.1326117331291075,3.226172278715151,4.499573225836873,1.5349020899939096,1
6.550596433755159,3.0849896846713607,4.676558361129224,1.3368309297510037,1
6.281397229837336,2.2800720084755537,4.521480379954779,1.2166614642121458,1
5.614214866506696,2.9768883283979974,4.194145905940523,1.3036744950840786,1
5.5104582105814695,2.450133960602336,3.92792108798716,1.354108021340291,1
5.437352829451948,2.401711534266413,4.453376229047793,1.2167107721028598,1
6.08141886251243,3.18260777594923,4.665235431362343,1.5024090583411798,1
5.9080253868087365,2.5931592653182265,3.870346929510335,1.3174597807543844,1
5.12484432000958,2.229682355115626,3.3336472652994176,1.0094572658977312,1
5.571587937935537,2.48767605363855,4.148034337409609,1.229795504498092,1
5.698358377773632,3.055552111540018,4.258151007513842,1.0521311313973292,1
5.6529710363036365,2.826805487420841,4.227552512136518,1.2130557724259166,1
6.253532530093856,2.8595103442857686,4.2858618289085,1.4207194345929195,1
5.217419419107638,2.551332878912296,3.0053835283980384,0.9013967738160302,1
5.56408382994896,2.8234614849226043,3.942618206737883,1.3175844553776919,1
6.0935198128373305,3.0991423410360386,6.05179971921783,2.60515846455227,2
5.702899296661725,2.6300109395210742,5.156000047282645,1.9929033144175006,2
7.1180774023579545,2.834397214638378,5.950986210909772,2.251856393432237,2
6.419066823101689,3.0306725288519,5.498946016722938,1.7668809092402178,2
6.521483012574877,2.9929737842780826,5.8237791873775056,2.1814081692036944,2
7.6683397800682185,3.0376401688899297,6.547231336793319,2.109698390632005,2
4.702975828522576,2.4831709524219674,4.5523886032810905,1.8287828644709017,2
7.358317965872661,2.8807314770885717,6.169588798138905,1.6999427829067835,2
6.807260763284449,2.547577329248091,5.772190613938467,1.6962724937005376,2
7.136964730794811,3.542041368371371,5.966115555609667,2.6670964861211464,2
6.528279001017755,3.2918163711503046,5.241479137092951,2.0719852041573947,2
6.412858401844656,2.7897211085356335,5.244268251737884,1.942319768306994,2
6.644332258754533,2.9909896477467197,5.531003437629267,2.178216425062082,2
5.698319523891944,2.431006383204041,5.048346371894564,1.8795565059752402,2
5.860652480605538,2.847355430776446,5.177240580917847,2.4785052225441735,2
6.342805191225575,3.3804385071447176,5.358164918457018,2.098566871238778,2
6.547264976151668,2.9065516976872825,5.627894074449406,1.7614241288810597,2
7.46650479595889,3.875597144150516,6.792259882969022,2.23408627157778,2
7.680270396650163,2.6231707654166403,7.0590059343916085,2.2516894331437842,2
